episode,score,average score,best score
217,114.5,278.4,295.7




218,2898.0,304.3,304.3




219,3.5,304.3,304.3
220,0.9,304.2,304.3
221,0.9,285.1,304.3
222,1624.3,301.3,304.3
223,3.5,294.0,304.3
224,3.5,294.0,304.3
225,2.7,290.2,304.3
226,0.9,290.2,304.3
227,2.7,290.2,304.3
228,3.5,290.2,304.3
229,3.5,290.2,304.3
230,3.5,290.2,304.3
231,0.9,290.2,304.3
232,0.9,288.6,304.3
233,2.7,288.6,304.3
234,0.9,288.6,304.3
235,3.5,288.6,304.3
236,3.5,288.6,304.3
237,2.7,288.6,304.3




238,2784.1,316.5,316.5
239,2.7,316.5,316.5
240,0.9,316.4,316.5
241,2.7,316.4,316.5
242,0.9,293.0,316.5
243,229.9,295.3,316.5
244,2.7,295.3,316.5
245,0.9,295.1,316.5
246,2.7,295.1,316.5
247,0.9,290.8,316.5
248,2.7,290.8,316.5
249,3.5,290.8,316.5
250,2.7,288.2,316.5
251,40.9,287.7,316.5
252,0.9,287.7,316.5
253,3.5,287.7,316.5
254,546.9,279.3,316.5
255,176.9,281.0,316.5
256,2.7,281.0,316.5
257,2.7,281.0,316.5
258,0.9,281.0,316.5
259,2.7,261.8,316.5
260,2.7,261.8,316.5
261,2.7,261.8,316.5
262,2.7,261.8,316.5
263,0.9,261.8,316.5
264,345.6,265.2,316.5
265,331.5,268.5,316.5
266,3.5,268.6,316.5
267,2.7,268.6,316.5
268,100.5,269.5,316.5
269,1813.2,283.3,316.5
270,3.5,283.3,316.5
271,2905.1,311.4,316.5
272,3.5,296.2,316.5
273,1353.5,309.7,316.5
274,94.8,302.7,316.5
275,242.6,305.1,316.5
276,0.9,302.5,316.5
277,3.5,302.6,316.5
278,393.7,290.4,316.5
279,3.5,290.4,316.5
280,3.5,288.5,316.5
281,3.5,278.3,316.5
282,0.9,278.3,316.5
283,671.5,285.0,316.5
284,3.5,285.0,316.5
285,0.9,285.0,316.5
286,2.7,281.6,316.5
287,357.3,285.2,316.5
288,0.9,285.1,316.5
289,2.7,285.1,316.5
290,2.7,272.3,316.5
291,2.7,272.3,316.5
292,3.5,270.0,316.5
293,2.7,266.3,316.5
294,3.5,266.3,316.5
295,2.7,266.3,316.5
296,316.9,269.4,316.5
297,179.7,271.2,316.5
298,3.5,246.7,316.5
299,2.7,246.7,316.5
300,3.5,246.7,316.5
301,0.9,246.7,316.5
302,2.7,236.1,316.5
303,2.7,236.1,316.5
304,3.5,236.1,316.5
305,1265.8,248.8,316.5
306,0.9,248.8,316.5
307,0.9,248.8,316.5
308,2.7,221.0,316.5
309,0.9,221.0,316.5
310,0.9,216.4,316.5
311,2.7,216.4,316.5
312,2.7,189.7,316.5
313,2.7,189.8,316.5
314,0.9,189.7,316.5
315,2.7,189.7,316.5
316,3.5,189.7,316.5
317,0.9,188.6,316.5
318,2.7,159.7,316.5
319,1470.5,174.3,316.5
320,2.7,174.3,316.5
321,0.9,174.3,316.5
322,127.7,159.4,316.5
323,0.9,159.3,316.5
324,0.9,159.3,316.5
325,479.4,164.1,316.5
326,3.5,164.1,316.5
327,2.7,164.1,316.5
