episode,score,average score,best score,epsilon,steps
191,81.59784784,49.12348914,68.36130096,0.988669,11362
192,104.321053,49.99694121,68.36130096,0.988544,11487
193,44.18226255,49.56047738,68.36130096,0.98849,11541
194,10.2758996,49.05761853,68.36130096,0.988477,11554
195,63.13343455,49.25987457,68.36130096,0.9884,11631
196,87.98176929,49.67043132,68.36130096,0.988293,11738
197,41.59318747,49.41358381,68.36130096,0.988242,11789
198,20.40295412,49.50909458,68.36130096,0.988217,11814
199,11.22300589,49.33819848,68.36130096,0.988202,11829
200,39.00861856,48.81926586,68.36130096,0.988154,11877
201,58.66832252,48.2643405,68.36130096,0.988082,11949
202,35.80241219,48.34607219,68.36130096,0.988039,11992
203,31.53979153,48.53713503,68.36130096,0.988,12031
204,180.6639716,50.19637983,68.36130096,0.987782,12249
205,27.9031608,49.7424436,68.36130096,0.987749,12282
206,67.27278542,50.32644329,68.36130096,0.987667,12364
207,50.54203587,50.56576305,68.36130096,0.987607,12424
208,46.97493204,50.69051372,68.36130096,0.987549,12482
209,46.47569372,50.46176513,68.36130096,0.987493,12538
210,9.42823654,50.2622262,68.36130096,0.987481,12550
211,26.06908296,49.83704793,68.36130096,0.987448,12583
212,17.62525666,49.81726322,68.36130096,0.987426,12605
213,28.24448656,49.83029871,68.36130096,0.98739,12641
214,68.98288232,50.35319715,68.36130096,0.987309,12722
215,8.050359212,50.09705703,68.36130096,0.987299,12732
216,15.33319527,49.87300145,68.36130096,0.98728,12751
217,26.14314956,48.88408055,68.36130096,0.987247,12784
218,56.38624488,48.0592147,68.36130096,0.987178,12853
219,127.2500448,49.0066358,68.36130096,0.987023,13008
220,76.73923862,49.31684115,68.36130096,0.98693,13101
221,13.91676473,49.27048357,68.36130096,0.986913,13118
222,10.97674766,49.30558324,68.36130096,0.986899,13132
223,81.19457955,49.77059868,68.36130096,0.986797,13234
224,12.34880964,48.31508286,68.36130096,0.986782,13249
225,94.53294366,49.00228449,68.36130096,0.98667,13361
226,37.54694993,49.2184573,68.36130096,0.986624,13407
227,24.68292798,48.87194109,68.36130096,0.986594,13437
228,25.94833649,48.96805781,68.36130096,0.986562,13469
229,81.10657366,49.42519083,68.36130096,0.986465,13566
230,46.09700484,49.60366645,68.36130096,0.986411,13620
231,14.62127098,48.92964259,68.36130096,0.986393,13638
232,30.117052,49.09331732,68.36130096,0.986357,13674
233,26.04422512,48.71912555,68.36130096,0.986325,13706
234,30.56011636,48.84237915,68.36130096,0.986287,13744
235,29.23478084,47.47579683,68.36130096,0.986252,13779
236,20.05685598,47.48049874,68.36130096,0.986228,13803
237,36.88066152,47.50329519,68.36130096,0.986184,13847
238,52.4823677,47.73986513,68.36130096,0.986119,13912
239,94.02523189,48.45967277,68.36130096,0.986002,14029
240,27.87327688,48.52060988,68.36130096,0.985969,14062
241,29.85645524,48.61704855,68.36130096,0.985933,14098
242,23.33012311,48.63136773,68.36130096,0.985905,14126
243,20.87889027,48.57498175,68.36130096,0.985879,14152
244,55.16253137,48.39536043,68.36130096,0.985811,14220
245,9.873453983,48.21548084,68.36130096,0.985798,14233
246,11.27368348,46.01821652,68.36130096,0.985784,14247
247,10.85835706,45.99878637,68.36130096,0.98577,14261
248,7.531157056,45.7794432,68.36130096,0.98576,14271
249,14.39622381,45.08850868,68.36130096,0.985742,14289
250,44.28571761,43.82471289,68.36130096,0.985689,14342
251,34.90776716,44.02165427,68.36130096,0.985645,14386
252,59.74660789,44.48525492,68.36130096,0.985574,14457
253,10.36263114,44.34334907,68.36130096,0.985561,14470
254,17.32064138,43.60405684,68.36130096,0.985539,14492
255,74.05459747,43.37898545,68.36130096,0.98545,14581
256,67.15105878,43.43753221,68.36130096,0.985367,14664
257,7.899330907,42.99736738,68.36130096,0.985357,14674
258,38.79204939,42.18830693,68.36130096,0.985309,14722
259,21.95855505,41.55907049,68.36130096,0.985283,14748
260,152.1095162,43.00538695,68.36130096,0.9851,14931
261,40.33923232,43.18780722,68.36130096,0.985051,14980
262,15.57061643,41.70395641,68.36130096,0.985031,15000
263,18.34303708,41.77491557,68.36130096,0.985008,15023
264,23.47426806,41.7244938,68.36130096,0.984979,15052
265,27.78197473,41.55936052,68.36130096,0.984945,15086
266,21.16258549,41.15090235,68.36130096,0.984919,15112
267,39.66200175,40.53772754,68.36130096,0.98487,15161
268,63.74104231,41.01255304,68.36130096,0.984792,15239
269,14.00059428,40.58742264,68.36130096,0.984775,15256
270,67.49723763,40.82777913,68.36130096,0.984695,15336
271,21.5650549,40.85265049,68.36130096,0.984668,15363
272,25.20786464,40.74627861,68.36130096,0.984637,15394
273,21.14422415,40.70863962,68.36130096,0.984611,15420
274,34.13471882,40.45453943,68.36130096,0.98457,15461
275,37.88371588,40.64765619,68.36130096,0.984524,15507
276,18.94310417,40.51963605,68.36130096,0.984501,15530
277,46.61059199,40.73670735,68.36130096,0.984445,15586
278,74.87117202,41.35515069,68.36130096,0.984354,15677
279,22.76087304,41.42354156,68.36130096,0.984326,15705
280,24.35354521,41.26053861,68.36130096,0.984297,15734
281,104.2854109,41.73145221,68.36130096,0.984171,15860
282,20.37470823,41.33872511,68.36130096,0.984147,15884
283,11.49247568,40.87994461,68.36130096,0.984133,15898
284,32.42937836,40.65978164,68.36130096,0.984093,15938
285,34.82530857,40.61718822,68.36130096,0.984051,15980
286,24.99996041,40.69320074,68.36130096,0.98402,16011
287,14.12430876,40.52665639,68.36130096,0.984003,16028
288,25.29513103,40.17627797,68.36130096,0.983973,16058
289,30.41587832,39.95572642,68.36130096,0.983935,16096
290,19.46597701,39.88568134,68.36130096,0.98391,16121
291,39.61583678,39.46586123,68.36130096,0.983862,16169
292,16.39705537,38.58662125,68.36130096,0.983842,16189
293,24.20561839,38.38685481,68.36130096,0.983812,16219
294,23.10958967,38.51519171,68.36130096,0.983784,16247
295,15.57451792,38.03960254,68.36130096,0.983765,16266
296,188.0589948,39.0403748,68.36130096,0.983536,16495
297,59.44733954,39.21891632,68.36130096,0.983464,16567
298,17.51321706,39.19001895,68.36130096,0.983442,16589
299,7.710719778,39.15489609,68.36130096,0.983432,16599
300,124.6976961,40.01178686,68.36130096,0.98328,16751
301,34.60730946,39.77117673,68.36130096,0.983236,16795
302,20.89881252,39.62214074,68.36130096,0.983211,16820
303,74.40650102,40.05080783,68.36130096,0.98312,16911
304,34.33294603,38.58749758,68.36130096,0.983078,16953
305,13.08916994,38.43935767,68.36130096,0.983062,16969
306,93.42554889,38.7008853,68.36130096,0.98295,17081
307,108.3331114,39.27879606,68.36130096,0.982816,17215
308,27.14338897,39.08048063,68.36130096,0.982782,17249
309,23.69291196,38.85265281,68.36130096,0.982753,17278
310,70.39100143,39.46228046,68.36130096,0.982671,17360
311,71.49883687,39.916578,68.36130096,0.982583,17448
312,14.05568544,39.88088229,68.36130096,0.982565,17466
313,48.87403917,40.08717781,68.36130096,0.982506,17525
314,14.38460171,39.54119501,68.36130096,0.982487,17544
315,14.70754233,39.60776684,68.36130096,0.982468,17563
316,43.18277085,39.88626259,68.36130096,0.982415,17616
317,8.072417725,39.70555527,68.36130096,0.982404,17627
318,88.70510255,40.02874385,68.36130096,0.982298,17733
319,8.40804604,38.84032386,68.36130096,0.982287,17744
320,13.5109321,38.2080408,68.36130096,0.98227,17761
321,29.06630121,38.35953616,68.36130096,0.982236,17795
322,12.95047573,38.37927344,68.36130096,0.98222,17811
323,18.48579045,37.75218555,68.36130096,0.982198,17833
324,43.32618095,38.06195927,68.36130096,0.982145,17886
325,15.60971218,37.27272695,68.36130096,0.982126,17905
326,19.86281233,37.09588558,68.36130096,0.982101,17930
327,155.2379648,38.40143594,68.36130096,0.981909,18122
328,32.02319392,38.46218452,68.36130096,0.981869,18162
329,17.48166284,37.82593541,68.36130096,0.981847,18184
330,152.3682797,38.88864816,68.36130096,0.981663,18368
331,28.34375298,39.02587298,68.36130096,0.981629,18402
332,64.15291665,39.36623163,68.36130096,0.981551,18480
333,24.95996199,39.35538899,68.36130096,0.98152,18511
334,30.1355593,39.35114342,68.36130096,0.981482,18549
335,45.73066179,39.51610223,68.36130096,0.981427,18604
336,23.21280855,39.54766176,68.36130096,0.981398,18633
337,36.13636558,39.5402188,68.36130096,0.981354,18677
338,8.033218118,39.0957273,68.36130096,0.981344,18687
339,17.35666723,38.32904166,68.36130096,0.981323,18708
340,47.85598781,38.52886877,68.36130096,0.981264,18767
341,49.61858963,38.72649011,68.36130096,0.981205,18826
342,58.79458988,39.08113478,68.36130096,0.981133,18898
343,57.89152017,39.45126108,68.36130096,0.981061,18970
344,59.86091533,39.49824492,68.36130096,0.980988,19043
345,59.25439177,39.99205429,68.36130096,0.980914,19117
346,70.68154642,40.58613292,68.36130096,0.980827,19204
347,93.28248332,41.41037419,68.36130096,0.980712,19319
348,24.3186119,41.57824873,68.36130096,0.980682,19349
349,19.16689284,41.62595542,68.36130096,0.980658,19373
350,16.04620219,41.34356027,68.36130096,0.980638,19393
351,26.8754141,41.26323674,68.36130096,0.980605,19426
352,12.68227261,40.79259339,68.36130096,0.980589,19442
353,43.43444326,41.12331151,68.36130096,0.980538,19493
354,59.91604257,41.54926552,68.36130096,0.980466,19565
355,13.49377235,40.94365727,68.36130096,0.980449,19582
356,31.60430088,40.58818969,68.36130096,0.98041,19621
357,7.476338298,40.58395976,68.36130096,0.9804,19631
358,45.58914612,40.65193073,68.36130096,0.980346,19685
359,10.65508451,40.53889603,68.36130096,0.980333,19698
360,37.1541076,39.38934194,68.36130096,0.980289,19742
361,28.23476248,39.26829724,68.36130096,0.980254,19777
362,61.20586042,39.72464968,68.36130096,0.980179,19852
363,29.21225561,39.83334187,68.36130096,0.980143,19888
364,11.25914253,39.71119061,68.36130096,0.980129,19902
365,18.16822621,39.61505313,68.36130096,0.980106,19925
366,20.9864433,39.6132917,68.36130096,0.98008,19951
367,110.4888594,40.32156028,68.36130096,0.979945,20086
368,13.22609743,39.81641083,68.36130096,0.979928,20103
369,94.88148052,40.62521969,68.36130096,0.979811,20220
370,52.14936021,40.47174092,68.36130096,0.979747,20284
371,90.18449042,41.15793527,68.36130096,0.979637,20394
372,79.95965794,41.70545321,68.36130096,0.979542,20489
373,40.07257401,41.89473671,68.36130096,0.979492,20539
374,10.66408526,41.66003037,68.36130096,0.979479,20552
375,33.98156379,41.62100885,68.36130096,0.979438,20593
376,85.04521553,42.28202996,68.36130096,0.979337,20694
377,36.34977841,42.17942183,68.36130096,0.979291,20740
378,43.05823763,41.86129248,68.36130096,0.979238,20793
379,58.94721711,42.22315592,68.36130096,0.979168,20863
380,9.937868234,42.07899915,68.36130096,0.979155,20876
